stats_o/mean,test/success_rate,stats_o/std,stats_g/std,test/mean_Q,train/episode,train/success_rate,epoch,stats_g/mean,test/episode
0.26272517,1.0,0.030551132,0.08513085,-0.030591408,4920.0,0.7,245,0.8755942,4920.0
0.26272717,1.0,0.030559069,0.08517056,-0.099309966,4940.0,0.85,246,0.87560433,4940.0
0.2627229,1.0,0.030558247,0.085167736,-0.039954297,4960.0,0.75,247,0.8755987,4960.0
0.2627159,1.0,0.03056452,0.08519528,-0.07988657,4980.0,0.8,248,0.8755725,4980.0
0.26270825,1.0,0.03055859,0.08517211,-0.05383687,5000.0,0.65,249,0.87554187,5000.0
0.26271787,1.0,0.03056572,0.085199594,-0.09306771,5020.0,0.85,250,0.8755794,5020.0
0.26270851,1.0,0.030562038,0.08518528,-0.07021609,5040.0,0.7,251,0.87554693,5040.0
0.26272237,1.0,0.030556893,0.08516387,-0.042881876,5060.0,0.85,252,0.87559825,5060.0
0.26272294,1.0,0.030552145,0.085149705,-0.0647454,5080.0,0.65,253,0.8756086,5080.0
0.26271063,1.0,0.030553404,0.08515862,-0.07770536,5100.0,0.85,254,0.8755641,5100.0
0.2626949,1.0,0.030555878,0.085171394,-0.051401548,5120.0,0.6,255,0.8754974,5120.0
0.26270092,1.0,0.030547643,0.085144214,-0.04698496,5140.0,0.85,256,0.87551755,5140.0
0.26271656,1.0,0.030540932,0.08512617,-0.03533133,5160.0,0.9,257,0.8755782,5160.0
0.26272768,1.0,0.030549582,0.08516044,-0.06944915,5180.0,0.7,258,0.87561846,5180.0
0.2627115,1.0,0.03054659,0.08514511,-0.06771639,5200.0,0.9,259,0.87556094,5200.0
0.26272207,1.0,0.03054091,0.085127376,-0.03485086,5220.0,0.85,260,0.8755991,5220.0
0.26271605,1.0,0.030540973,0.08512247,-0.044508845,5240.0,0.55,261,0.8755742,5240.0
0.26272383,1.0,0.030543989,0.08513263,-0.08285408,5260.0,0.75,262,0.8756036,5260.0
0.26271266,1.0,0.03053918,0.08512034,-0.06667428,5280.0,0.6,263,0.87556237,5280.0
0.26270857,1.0,0.030537624,0.08510966,-0.058639266,5300.0,0.75,264,0.87554884,5300.0
0.26272824,1.0,0.030539852,0.08511355,-0.043364704,5320.0,0.95,265,0.8756167,5320.0
0.26272243,1.0,0.030535806,0.08510212,-0.052889735,5340.0,0.75,266,0.875598,5340.0
0.26271838,1.0,0.030533958,0.08510703,-0.07742998,5360.0,0.95,267,0.8755896,5360.0
0.2627182,1.0,0.030541178,0.08512642,-0.04888251,5380.0,0.85,268,0.8755887,5380.0
0.26272026,1.0,0.030535415,0.08511707,-0.08824969,5400.0,0.75,269,0.8755916,5400.0
