test/episode,stats_g/std,stats_o/std,stats_o/mean,epoch,test/success_rate,train/episode,test/mean_Q,stats_g/mean,train/success_rate
3580.0,0.085601114,0.030627917,0.26288712,178,1.0,3580.0,-0.063149765,0.87552285,0.75
3600.0,0.08562922,0.03063621,0.26289093,179,1.0,3600.0,-0.050015174,0.8755339,0.7
3620.0,0.085671395,0.030649763,0.26291612,180,1.0,3620.0,-0.058428086,0.8756252,0.8
3640.0,0.08568195,0.030654356,0.2629306,181,1.0,3640.0,-0.037685145,0.87566257,0.7
3660.0,0.08573437,0.030665329,0.26290917,182,1.0,3660.0,-0.1141397,0.8755789,0.65
3680.0,0.08571278,0.030661508,0.26287475,183,1.0,3680.0,-0.04144193,0.87546253,0.7
3700.0,0.08566179,0.030646402,0.26287603,184,1.0,3700.0,-0.02924555,0.87546843,0.85
3720.0,0.08565277,0.03064377,0.26287982,185,1.0,3720.0,-0.04361766,0.8754857,0.85
3740.0,0.08564655,0.030641627,0.2628606,186,1.0,3740.0,-0.07027822,0.8754023,0.65
3760.0,0.08564985,0.030640025,0.26285845,187,1.0,3760.0,-0.07514613,0.8753991,0.75
3780.0,0.08560902,0.030630972,0.26285908,188,1.0,3780.0,-0.050494768,0.8754017,0.6
3800.0,0.08563882,0.030638197,0.26288646,189,1.0,3800.0,-0.078743674,0.8755072,0.8
3820.0,0.08563447,0.030633498,0.26287672,190,1.0,3820.0,-0.051197033,0.87546015,0.8
3840.0,0.08558033,0.03062057,0.26287252,191,1.0,3840.0,-0.030123357,0.87545484,0.7
3860.0,0.08553543,0.03060789,0.26286927,192,1.0,3860.0,-0.060843606,0.87544745,0.6
3880.0,0.08556652,0.03061763,0.26284963,193,1.0,3880.0,-0.056906044,0.8753794,0.8
3900.0,0.08553872,0.030607814,0.26283497,194,1.0,3900.0,-0.07218929,0.8753276,0.8
3920.0,0.08554664,0.03061142,0.26279792,195,1.0,3920.0,-0.057236157,0.87519974,0.6
3940.0,0.085539795,0.030610522,0.26278928,196,1.0,3940.0,-0.06514683,0.8751572,0.75
3960.0,0.08554848,0.030610967,0.26279923,197,1.0,3960.0,-0.084059566,0.87520474,0.7
3980.0,0.08551717,0.03060193,0.2627859,198,1.0,3980.0,-0.051702727,0.875154,0.75
4000.0,0.085518055,0.030600116,0.26279756,199,1.0,4000.0,-0.057121843,0.8751908,0.75
