test/success_rate,epoch,stats_o/mean,train/episode,stats_g/std,stats_g/mean,test/mean_Q,train/success_rate,test/episode,stats_o/std
1.0,211,0.26258194,4240.0,0.08623179,0.8755629,-0.14822093,0.75,4240.0,0.030484587
1.0,212,0.26259273,4260.0,0.08623534,0.8756044,-0.10151736,0.65,4260.0,0.03048842
1.0,213,0.26261142,4280.0,0.08619969,0.87565786,-0.12280973,0.9,4280.0,0.030479645
1.0,214,0.26261324,4300.0,0.08620182,0.875683,-0.13217418,0.85,4300.0,0.030482953
1.0,215,0.26259956,4320.0,0.086214684,0.87562543,-0.11918402,0.8,4320.0,0.030487472
1.0,216,0.26259,4340.0,0.08619577,0.87558156,-0.075009495,0.8,4340.0,0.03048485
1.0,217,0.2625968,4360.0,0.08620149,0.87560314,-0.13071007,0.7,4360.0,0.0304855
1.0,218,0.26261213,4380.0,0.08621436,0.8756649,-0.11634903,0.85,4380.0,0.030486101
1.0,219,0.26262084,4400.0,0.086189516,0.87569636,-0.086393185,0.75,4400.0,0.03048344
1.0,220,0.26260418,4420.0,0.08623583,0.8756167,-0.16882893,0.8,4420.0,0.030492574
1.0,221,0.26259622,4440.0,0.08625707,0.87558764,-0.07942392,0.8,4440.0,0.030496156
1.0,222,0.26259688,4460.0,0.08625844,0.87559557,-0.1130169,0.7,4460.0,0.030495804
1.0,223,0.26257703,4480.0,0.08631158,0.8755172,-0.18336737,0.7,4480.0,0.030504655
1.0,224,0.26257053,4500.0,0.08630178,0.87548137,-0.09512225,0.8,4500.0,0.030500323
1.0,225,0.2625678,4520.0,0.08630436,0.87546223,-0.116561174,0.7,4520.0,0.030497015
1.0,226,0.26256102,4540.0,0.0863137,0.8754332,-0.10628893,0.7,4540.0,0.030500302
1.0,227,0.26257324,4560.0,0.08630794,0.8754824,-0.08082197,0.8,4560.0,0.030503858
1.0,228,0.2625807,4580.0,0.08627182,0.87550646,-0.07420339,0.75,4580.0,0.030501425
1.0,229,0.26257575,4600.0,0.08624842,0.8754943,-0.06151559,0.55,4600.0,0.030495215
1.0,230,0.2625542,4620.0,0.08625581,0.875406,-0.097610906,0.85,4620.0,0.030498099
1.0,231,0.26253918,4640.0,0.086247645,0.87536687,-0.07615355,0.75,4640.0,0.030496964
1.0,232,0.26252803,4660.0,0.08621725,0.8753018,-0.06114363,0.65,4660.0,0.030488422
1.0,233,0.26252404,4680.0,0.0862278,0.87528163,-0.09137523,0.65,4680.0,0.030490732
1.0,234,0.2625335,4700.0,0.08624626,0.87530446,-0.076383695,0.7,4700.0,0.030497503
1.0,235,0.26253936,4720.0,0.08624206,0.8753133,-0.04900608,0.85,4720.0,0.030493638
1.0,236,0.26253656,4740.0,0.08621045,0.8753024,-0.06713693,0.75,4740.0,0.03048696
1.0,237,0.26252562,4760.0,0.08624477,0.8752444,-0.12793656,0.75,4760.0,0.03049778
1.0,238,0.26252028,4780.0,0.086224206,0.8752323,-0.09387482,0.6,4780.0,0.030491129
1.0,239,0.26251593,4800.0,0.08621944,0.87521267,-0.0928185,0.8,4800.0,0.030489122
1.0,240,0.2624907,4820.0,0.08622507,0.875127,-0.06783828,0.8,4820.0,0.030488933
1.0,241,0.26251307,4840.0,0.086255945,0.87520033,-0.0907298,0.75,4840.0,0.030496866
1.0,242,0.2625098,4860.0,0.08624067,0.87517947,-0.05755846,0.9,4860.0,0.030493077
1.0,243,0.26249832,4880.0,0.08622086,0.8751197,-0.060809027,0.75,4880.0,0.030488383
1.0,244,0.2625001,4900.0,0.08620343,0.87512255,-0.047252655,0.8,4900.0,0.03048041
1.0,245,0.26249665,4920.0,0.086177856,0.87509966,-0.057576448,0.7,4920.0,0.030473044
1.0,246,0.26250145,4940.0,0.086214446,0.87511826,-0.09278861,0.8,4940.0,0.030483056
1.0,247,0.2624997,4960.0,0.086208306,0.87511283,-0.06024952,0.7,4960.0,0.030482247
1.0,248,0.2624939,4980.0,0.086235814,0.8750866,-0.1040956,0.8,4980.0,0.030487906
1.0,249,0.2624872,5000.0,0.08621796,0.8750635,-0.047252912,0.7,5000.0,0.030481696
1.0,250,0.26249653,5020.0,0.086250156,0.87509775,-0.11434953,0.85,5020.0,0.03048864
1.0,251,0.262487,5040.0,0.08624526,0.87506074,-0.093154974,0.8,5040.0,0.030485366
1.0,252,0.26250204,5060.0,0.08623513,0.87511903,-0.05488029,0.8,5060.0,0.03048104
1.0,253,0.26250333,5080.0,0.08623284,0.875124,-0.060218643,0.75,5080.0,0.030477723
1.0,254,0.26249287,5100.0,0.08624926,0.8750739,-0.10337671,0.85,5100.0,0.030480543
1.0,255,0.26247743,5120.0,0.086273395,0.87500453,-0.08963779,0.65,5120.0,0.03048344
1.0,256,0.26248395,5140.0,0.086235195,0.8750198,-0.041890018,0.9,5140.0,0.030476471
1.0,257,0.26250023,5160.0,0.086206734,0.8750796,-0.07543949,0.9,5160.0,0.030470293
1.0,258,0.2625126,5180.0,0.08623294,0.8751108,-0.07618491,0.65,5180.0,0.030478701
1.0,259,0.26249784,5200.0,0.086223125,0.8750534,-0.10884662,0.9,5200.0,0.030476179
1.0,260,0.26250806,5220.0,0.08619184,0.87509364,-0.061396487,0.85,5220.0,0.030470315
1.0,261,0.26250288,5240.0,0.08618596,0.8750703,-0.07248224,0.6,5240.0,0.030469531
1.0,262,0.262511,5260.0,0.08619339,0.8751003,-0.101496235,0.8,5260.0,0.030473432
1.0,263,0.2625007,5280.0,0.08618457,0.8750718,-0.06782852,0.7,5280.0,0.030469377
1.0,264,0.262498,5300.0,0.086176775,0.87505794,-0.061632894,0.8,5300.0,0.03046808
1.0,265,0.26251996,5320.0,0.086164,0.8751294,-0.08317481,1.0,5320.0,0.030471155
1.0,266,0.2625147,5340.0,0.08615472,0.87511307,-0.018224852,0.8,5340.0,0.030467695
1.0,267,0.2625121,5360.0,0.086164534,0.8751009,-0.0759124,0.95,5360.0,0.030465994
1.0,268,0.2625137,5380.0,0.08618501,0.8751085,-0.05799377,0.75,5380.0,0.030473793
1.0,269,0.26251626,5400.0,0.08618617,0.87510204,-0.064912654,0.75,5400.0,0.030469488
