stats_g/std,train/success_rate,train/episode,test/success_rate,test/episode,stats_o/mean,stats_g/mean,test/mean_Q,stats_o/std,epoch
0.06780546,0.98,14900.0,0.95,2980.0,0.19943586,0.83746403,-1.3215355,0.10206637,148
0.06777812,0.97,15000.0,1.0,3000.0,0.19943903,0.8374732,-1.3358147,0.10216127,149
0.06771303,0.97,15100.0,1.0,3020.0,0.19944122,0.83747405,-1.1100835,0.102259815,150
0.06767539,0.98,15200.0,1.0,3040.0,0.19944014,0.8375395,-0.9627142,0.102258466,151
0.067647226,0.94,15300.0,1.0,3060.0,0.19946094,0.8375452,-1.092365,0.10229852,152
0.067612246,0.96,15400.0,1.0,3080.0,0.19948258,0.83753556,-0.9391371,0.10237856,153
0.06756284,0.98,15500.0,1.0,3100.0,0.19948505,0.83754665,-1.4298729,0.102382734,154
0.06756217,0.96,15600.0,0.95,3120.0,0.19950525,0.8375903,-1.4004046,0.10246395,155
0.06752502,0.96,15700.0,0.95,3140.0,0.19951706,0.83757734,-1.6699476,0.102383755,156
0.06756175,0.91,15800.0,1.0,3160.0,0.19952878,0.83760756,-1.2258748,0.10245981,157
0.06751616,0.99,15900.0,1.0,3180.0,0.19951685,0.8376028,-1.2590618,0.10246284,158
0.0674666,0.96,16000.0,1.0,3200.0,0.19950753,0.8376253,-1.6852039,0.10256419,159
0.06749927,0.96,16100.0,1.0,3220.0,0.19952087,0.83763236,-1.2805269,0.102573805,160
0.06748583,0.93,16200.0,0.95,3240.0,0.19953923,0.83764786,-1.8310554,0.102602586,161
0.0674564,0.94,16300.0,1.0,3260.0,0.19954471,0.83766156,-1.1571432,0.10271577,162
0.06745618,0.98,16400.0,1.0,3280.0,0.19957823,0.8376639,-0.90843105,0.10274472,163
0.067466445,0.96,16500.0,1.0,3300.0,0.1996165,0.8376991,-1.09325,0.10272592,164
0.067519106,0.93,16600.0,1.0,3320.0,0.1996043,0.8377195,-0.96218187,0.10280024,165
0.067511074,0.94,16700.0,1.0,3340.0,0.19960648,0.83772373,-1.2364022,0.10278671,166
0.067480646,0.96,16800.0,1.0,3360.0,0.19959526,0.8377829,-1.4997317,0.10281058,167
