train/success_rate,epoch,stats_g/mean,test/mean_Q,stats_o/std,stats_o/mean,stats_g/std,test/success_rate,test/episode,train/episode
0.01,173,0.85193425,-44.619728,0.07361936,0.17659064,0.11867195,0.0,3480.0,17400.0
0.0,174,0.85195714,-44.51704,0.073567346,0.17659752,0.11866144,0.0,3500.0,17500.0
0.01,175,0.8520525,-46.68334,0.07358259,0.17659773,0.1186758,0.0,3520.0,17600.0
0.0,176,0.85203934,-43.49987,0.07356219,0.17660598,0.118656754,0.0,3540.0,17700.0
0.0,177,0.8519931,-43.82145,0.07353729,0.17659806,0.11863917,0.0,3560.0,17800.0
0.0,178,0.8520069,-47.70156,0.07346871,0.1765998,0.118644476,0.0,3580.0,17900.0
0.01,179,0.85200435,-45.262787,0.07340995,0.17659977,0.11860734,0.0,3600.0,18000.0
0.0,180,0.8519879,-46.341324,0.07332401,0.17660604,0.11860561,0.0,3620.0,18100.0
0.03,181,0.8520744,-46.25585,0.073262975,0.17659461,0.11859623,0.0,3640.0,18200.0
0.0,182,0.8520279,-45.342873,0.07324066,0.17662278,0.11859108,0.0,3660.0,18300.0
0.01,183,0.85200804,-47.362335,0.07318554,0.17662139,0.11858494,0.0,3680.0,18400.0
0.01,184,0.8519561,-47.769356,0.07321527,0.17663357,0.118605606,0.0,3700.0,18500.0
0.01,185,0.8519414,-44.16632,0.07314283,0.1766407,0.11858818,0.0,3720.0,18600.0
0.02,186,0.8519802,-40.556976,0.07307326,0.17665659,0.11864076,0.0,3740.0,18700.0
0.0,187,0.85193443,-48.924427,0.073034175,0.17667785,0.11864855,0.0,3760.0,18800.0
0.0,188,0.8519996,-45.336266,0.07306184,0.17670651,0.118609406,0.0,3780.0,18900.0
0.02,189,0.85199565,-46.27665,0.073018916,0.17671794,0.11860553,0.05,3800.0,19000.0
0.0,190,0.852016,-46.758575,0.07300853,0.1767023,0.118593335,0.0,3820.0,19100.0
0.02,191,0.8520482,-46.306232,0.072994135,0.1767064,0.118620604,0.0,3840.0,19200.0
0.01,192,0.8520376,-47.237465,0.07293041,0.17670366,0.1186254,0.0,3860.0,19300.0
0.01,193,0.8520122,-43.38131,0.07285847,0.17670786,0.1186199,0.0,3880.0,19400.0
0.01,194,0.852007,-46.062195,0.07284495,0.17672881,0.11858628,0.0,3900.0,19500.0
0.0,195,0.8519954,-46.359604,0.072802156,0.17672539,0.11859464,0.0,3920.0,19600.0
0.01,196,0.8519585,-45.956093,0.07274637,0.17672518,0.11861769,0.0,3940.0,19700.0
0.0,197,0.8519099,-46.56732,0.07273379,0.17674012,0.118652545,0.0,3960.0,19800.0
0.0,198,0.8518961,-44.16717,0.07269944,0.17676866,0.11861328,0.0,3980.0,19900.0
0.0,199,0.8518438,-42.56131,0.07265397,0.17678419,0.11861169,0.0,4000.0,20000.0
0.0,200,0.8518731,-45.85526,0.07263002,0.17678615,0.118608385,0.0,4020.0,20100.0
0.0,201,0.8518219,-46.974003,0.07266439,0.17680323,0.118573256,0.0,4040.0,20200.0
0.02,202,0.851821,-45.94308,0.0726687,0.17681438,0.11856043,0.0,4060.0,20300.0
0.01,203,0.85174584,-46.29953,0.07265233,0.17682987,0.1185832,0.0,4080.0,20400.0
0.0,204,0.85171086,-47.179497,0.072665766,0.17684588,0.118597955,0.0,4100.0,20500.0
0.01,205,0.85167766,-44.508213,0.07268321,0.17685065,0.118595116,0.0,4120.0,20600.0
0.01,206,0.8516317,-41.442116,0.07264437,0.17685306,0.1186117,0.0,4140.0,20700.0
0.01,207,0.85161036,-43.359047,0.07263901,0.1768487,0.11860148,0.0,4160.0,20800.0
0.0,208,0.8515691,-46.205902,0.072652526,0.17684832,0.118596606,0.0,4180.0,20900.0
0.01,209,0.8516223,-45.596886,0.072658926,0.17683579,0.118584424,0.0,4200.0,21000.0
0.0,210,0.851628,-44.591854,0.07268705,0.17683314,0.118596934,0.0,4220.0,21100.0
0.01,211,0.85162,-43.930775,0.07264372,0.17684466,0.118592344,0.0,4240.0,21200.0
0.0,212,0.85157865,-44.410847,0.0727052,0.1768433,0.118592136,0.0,4260.0,21300.0
0.01,213,0.8515718,-47.67518,0.072650574,0.1768587,0.11858945,0.0,4280.0,21400.0
0.0,214,0.85160065,-46.77497,0.07263508,0.17687707,0.118628055,0.0,4300.0,21500.0
0.0,215,0.851605,-46.066998,0.07262805,0.17687939,0.118628405,0.0,4320.0,21600.0
0.02,216,0.85159534,-46.618103,0.07268224,0.17690235,0.118624866,0.05,4340.0,21700.0
0.02,217,0.85166854,-46.195168,0.0726882,0.17690834,0.118625976,0.0,4360.0,21800.0
0.02,218,0.85165167,-46.37905,0.07267583,0.17692596,0.11861048,0.0,4380.0,21900.0
0.02,219,0.8516724,-45.31897,0.072664574,0.176928,0.118621856,0.0,4400.0,22000.0
