train/success_rate,stats_g/std,test/success_rate,stats_o/std,test/episode,stats_g/mean,test/mean_Q,stats_o/mean,train/episode,epoch
0.98,0.06596872,1.0,0.100330725,4240.0,0.838561,-1.1702279,0.20158045,21200.0,211
0.99,0.06595323,0.95,0.10039455,4260.0,0.8385789,-0.9718593,0.20158775,21300.0,212
0.97,0.06593367,1.0,0.100438684,4280.0,0.83859277,-1.2852218,0.20158885,21400.0,213
0.94,0.06590154,1.0,0.100432135,4300.0,0.8385969,-1.2207668,0.20160021,21500.0,214
0.96,0.065915674,1.0,0.10047193,4320.0,0.83861166,-1.239434,0.20160955,21600.0,215
0.96,0.06589802,1.0,0.1004684,4340.0,0.83860636,-1.1958678,0.20163563,21700.0,216
0.95,0.065904275,1.0,0.10054037,4360.0,0.8386164,-0.92028844,0.20163922,21800.0,217
0.95,0.065891124,1.0,0.100574404,4380.0,0.8386126,-0.78485984,0.20162115,21900.0,218
0.96,0.06596761,1.0,0.10061108,4400.0,0.8386028,-0.88321096,0.20161848,22000.0,219
0.92,0.06598682,1.0,0.100603364,4420.0,0.8386155,-1.1475658,0.20164144,22100.0,220
0.96,0.06595398,1.0,0.10057222,4440.0,0.838615,-1.1553963,0.20164455,22200.0,221
0.97,0.065936424,1.0,0.10057504,4460.0,0.8386108,-1.1612008,0.20163515,22300.0,222
0.95,0.06595783,1.0,0.1005932,4480.0,0.8386131,-1.0015228,0.20163554,22400.0,223
0.98,0.065920755,1.0,0.10059415,4500.0,0.83861405,-1.0295718,0.20165963,22500.0,224
0.98,0.06588959,1.0,0.10062343,4520.0,0.8385954,-1.2082708,0.2016683,22600.0,225
0.94,0.06588198,1.0,0.10064871,4540.0,0.8386112,-1.1595235,0.20167895,22700.0,226
0.96,0.06586229,1.0,0.10069156,4560.0,0.83860606,-0.9756912,0.20168994,22800.0,227
0.94,0.065842725,1.0,0.100686744,4580.0,0.83859205,-1.0063758,0.20169367,22900.0,228
0.96,0.065840036,1.0,0.100716114,4600.0,0.838594,-1.0950052,0.20169196,23000.0,229
0.9,0.06586174,1.0,0.10079677,4620.0,0.838594,-1.1047013,0.2017032,23100.0,230
