test/success_rate,epoch,stats_o/mean,test/episode,train/success_rate,test/mean_Q,stats_o/std,stats_g/mean,train/episode,stats_g/std
0.05,177,0.2039348,3560.0,0.02,-8.478332,0.050343916,0.8759134,17800.0,0.10609516
0.0,178,0.20390543,3580.0,0.05,-11.333286,0.05051863,0.87591624,17900.0,0.10607943
0.0,179,0.20390445,3600.0,0.03,-9.8973675,0.050513893,0.8759138,18000.0,0.10607979
0.1,180,0.20390649,3620.0,0.04,-10.16938,0.05053246,0.8759208,18100.0,0.10603752
0.05,181,0.20390803,3640.0,0.05,-12.024498,0.05049797,0.8759435,18200.0,0.10600409
0.05,182,0.20390528,3660.0,0.02,-9.50216,0.050590597,0.87593716,18300.0,0.1059919
0.1,183,0.20389852,3680.0,0.06,-11.0134535,0.050558988,0.87593347,18400.0,0.10599559
0.05,184,0.20390202,3700.0,0.04,-11.238305,0.050532125,0.87584734,18500.0,0.10598645
0.0,185,0.20390901,3720.0,0.02,-11.076645,0.050510213,0.87583494,18600.0,0.10596409
0.05,186,0.20390245,3740.0,0.01,-10.44211,0.0505466,0.8758684,18700.0,0.1059647
0.0,187,0.2038985,3760.0,0.02,-10.653722,0.05055614,0.87582475,18800.0,0.10598088
0.05,188,0.20390409,3780.0,0.04,-12.405235,0.050698753,0.8758526,18900.0,0.10600382
0.0,189,0.20390223,3800.0,0.02,-10.944193,0.0506961,0.8758858,19000.0,0.1059983
0.0,190,0.20391397,3820.0,0.05,-12.518388,0.050746698,0.87586147,19100.0,0.106010996
0.05,191,0.20391545,3840.0,0.04,-8.133992,0.050805807,0.87588567,19200.0,0.106021784
0.05,192,0.20391771,3860.0,0.04,-9.716989,0.050779697,0.8759238,19300.0,0.10608534
0.0,193,0.20391198,3880.0,0.05,-10.735316,0.05082067,0.8759174,19400.0,0.10611551
0.0,194,0.20392124,3900.0,0.01,-10.120283,0.050776828,0.8759198,19500.0,0.10610804
0.0,195,0.20392914,3920.0,0.03,-11.972088,0.05078369,0.8759331,19600.0,0.10609398
0.05,196,0.20393243,3940.0,0.04,-9.716366,0.05085065,0.87594175,19700.0,0.10608212
0.0,197,0.20392859,3960.0,0.03,-10.046339,0.050826136,0.8759532,19800.0,0.1060854
0.0,198,0.20393571,3980.0,0.01,-13.300115,0.0508054,0.8759549,19900.0,0.1060822
0.1,199,0.20393686,4000.0,0.01,-9.12657,0.050773684,0.8759647,20000.0,0.106095694
0.0,200,0.20393299,4020.0,0.03,-11.519323,0.050799288,0.87595385,20100.0,0.10609809
0.05,201,0.20393747,4040.0,0.03,-11.028013,0.050752826,0.8759299,20200.0,0.10608205
0.05,202,0.20394318,4060.0,0.02,-9.642963,0.050811354,0.8759478,20300.0,0.10607318
0.0,203,0.20393836,4080.0,0.06,-10.322732,0.05081646,0.8759773,20400.0,0.10611439
0.15,204,0.20393638,4100.0,0.03,-10.795018,0.05078804,0.8759933,20500.0,0.106135465
0.0,205,0.20393486,4120.0,0.03,-12.535001,0.050773572,0.8759884,20600.0,0.10615029
0.05,206,0.20394644,4140.0,0.03,-10.247789,0.050742783,0.87599343,20700.0,0.106164224
0.0,207,0.20394883,4160.0,0.04,-11.016187,0.05074296,0.8760133,20800.0,0.10616219
0.1,208,0.20396519,4180.0,0.03,-11.98728,0.050770126,0.87603164,20900.0,0.10616604
0.0,209,0.20397379,4200.0,0.03,-10.553705,0.05075492,0.87604874,21000.0,0.106152885
0.0,210,0.203976,4220.0,0.02,-10.356231,0.050789937,0.87603945,21100.0,0.10617325
0.0,211,0.20397055,4240.0,0.03,-11.354398,0.050765928,0.87602067,21200.0,0.10616263
0.15,212,0.20396668,4260.0,0.05,-9.987765,0.050896283,0.87600404,21300.0,0.10617759
0.0,213,0.20396471,4280.0,0.07,-11.007837,0.050914694,0.87601644,21400.0,0.106173575
0.05,214,0.20397602,4300.0,0.03,-11.369733,0.05095453,0.875983,21500.0,0.10616899
0.05,215,0.20397316,4320.0,0.06,-12.349352,0.05093839,0.875997,21600.0,0.10618327
0.05,216,0.20398746,4340.0,0.03,-8.932425,0.050977737,0.8760275,21700.0,0.106192976
0.0,217,0.20397465,4360.0,0.04,-11.922607,0.05094397,0.87600344,21800.0,0.10618191
0.0,218,0.20397264,4380.0,0.02,-11.077452,0.050976954,0.8759534,21900.0,0.10617906
0.0,219,0.2039654,4400.0,0.04,-8.9321995,0.051021997,0.87593555,22000.0,0.10617313
0.0,220,0.20395267,4420.0,0.03,-11.450012,0.051019568,0.87597734,22100.0,0.10618272
0.0,221,0.20395309,4440.0,0.07,-10.232202,0.05102384,0.87593865,22200.0,0.106200345
0.1,222,0.20395607,4460.0,0.04,-10.742128,0.05099215,0.87594765,22300.0,0.106196575
0.05,223,0.20395482,4480.0,0.04,-9.506933,0.051001646,0.87595266,22400.0,0.1061999
0.05,224,0.20394237,4500.0,0.05,-11.11908,0.050965432,0.8759601,22500.0,0.106196724
0.15,225,0.20394422,4520.0,0.04,-9.101567,0.05094526,0.87598366,22600.0,0.106206365
0.05,226,0.20395279,4540.0,0.04,-11.303133,0.050988123,0.8760092,22700.0,0.106209315
0.05,227,0.20395571,4560.0,0.05,-10.871775,0.050968017,0.87603384,22800.0,0.106212415
0.05,228,0.20394725,4580.0,0.05,-10.435563,0.050984092,0.8760817,22900.0,0.10622027
0.05,229,0.20394854,4600.0,0.04,-9.425125,0.050966416,0.8760989,23000.0,0.10622221
0.0,230,0.2039541,4620.0,0.02,-9.224344,0.05096222,0.87605786,23100.0,0.10620973
0.0,231,0.20395796,4640.0,0.02,-9.904399,0.050939545,0.87604237,23200.0,0.10620767
0.1,232,0.20395622,4660.0,0.07,-11.132503,0.050921682,0.8760331,23300.0,0.10620435
0.0,233,0.20395912,4680.0,0.06,-12.858849,0.050921675,0.87609786,23400.0,0.106215395
0.05,234,0.20396191,4700.0,0.05,-11.158392,0.05096024,0.8760686,23500.0,0.106225066
0.05,235,0.2039556,4720.0,0.05,-7.670307,0.0509964,0.87607193,23600.0,0.106239595
0.0,236,0.2039591,4740.0,0.06,-8.50718,0.05099173,0.87606066,23700.0,0.106240086
0.0,237,0.20395803,4760.0,0.05,-10.717649,0.050993923,0.876043,23800.0,0.10624728
0.05,238,0.20396584,4780.0,0.05,-11.135244,0.050979353,0.87602186,23900.0,0.106247604
0.0,239,0.20395702,4800.0,0.09,-13.300545,0.050958104,0.876,24000.0,0.106244825
0.0,240,0.20395559,4820.0,0.04,-9.758026,0.051000524,0.8759565,24100.0,0.10623915
0.1,241,0.20395437,4840.0,0.02,-9.533346,0.05103109,0.87595344,24200.0,0.10623173
0.05,242,0.2039534,4860.0,0.05,-10.423521,0.051054455,0.8759249,24300.0,0.10623404
