test/success_rate,test/episode,stats_g/mean,train/episode,train/success_rate,stats_o/mean,stats_g/std,test/mean_Q,stats_o/std,epoch
1.0,4460.0,0.83761877,22300.0,0.94,0.20156634,0.07606382,-1.1926317,0.1109713,222
1.0,4480.0,0.8376234,22400.0,0.96,0.20157902,0.07604403,-1.0109429,0.11101766,223
0.95,4500.0,0.83762306,22500.0,0.92,0.20156208,0.075978,-1.363058,0.11102384,224
1.0,4520.0,0.83761543,22600.0,0.93,0.20156488,0.07592924,-1.3186672,0.111040086,225
1.0,4540.0,0.83763415,22700.0,0.93,0.2015504,0.07588873,-1.208772,0.11106027,226
1.0,4560.0,0.8376325,22800.0,0.95,0.20155145,0.07584101,-1.1614852,0.1110362,227
1.0,4580.0,0.8376271,22900.0,0.96,0.2015168,0.075791575,-1.2029022,0.11106297,228
1.0,4600.0,0.8376267,23000.0,0.96,0.2015207,0.07579456,-1.1358403,0.111110315,229
0.95,4620.0,0.8376394,23100.0,0.96,0.20153445,0.07574516,-1.4902635,0.11111736,230
1.0,4640.0,0.8376644,23200.0,0.95,0.20154825,0.07573268,-1.1694891,0.11118621,231
1.0,4660.0,0.8376623,23300.0,0.98,0.20155486,0.07571667,-1.4124191,0.11127563,232
0.95,4680.0,0.83765817,23400.0,0.96,0.20152885,0.07569174,-1.5796492,0.11133948,233
1.0,4700.0,0.8376742,23500.0,0.94,0.20154804,0.07570156,-1.2483618,0.11130449,234
1.0,4720.0,0.83764315,23600.0,0.91,0.2015675,0.07565629,-1.2721018,0.11139958,235
1.0,4740.0,0.8376468,23700.0,0.95,0.20157996,0.07563383,-1.3208392,0.111416385,236
1.0,4760.0,0.83764106,23800.0,0.99,0.20157813,0.07558625,-1.0080042,0.11142697,237
1.0,4780.0,0.8376593,23900.0,0.97,0.20156191,0.07556241,-1.2368301,0.111431934,238
1.0,4800.0,0.8376736,24000.0,0.95,0.2015971,0.07554576,-0.9468874,0.11147206,239
