train/success_rate,stats_g/mean,train/episode,test/mean_Q,test/episode,stats_g/std,stats_o/std,epoch,stats_o/mean,test/success_rate
0.8,0.87638384,4300.0,-0.052467298,4300.0,0.085172094,0.030570064,214,0.26293755,1.0
0.75,0.87632877,4320.0,-0.05172071,4320.0,0.085180126,0.0305733,215,0.2629237,1.0
0.75,0.8762884,4340.0,-0.047728553,4340.0,0.08517412,0.030571371,216,0.26291287,1.0
0.7,0.8763103,4360.0,-0.057585042,4360.0,0.08518372,0.030570697,217,0.26291814,1.0
0.8,0.8763602,4380.0,-0.06593777,4380.0,0.085185386,0.030569678,218,0.26293236,1.0
0.65,0.8763867,4400.0,-0.060412496,4400.0,0.08516353,0.030565292,219,0.2629397,1.0
0.85,0.876312,4420.0,-0.06597823,4420.0,0.085196085,0.03057384,220,0.2629227,1.0
0.7,0.8762788,4440.0,-0.08429027,4440.0,0.08519753,0.030575696,221,0.26291367,1.0
0.6,0.8762775,4460.0,-0.062023126,4460.0,0.08519479,0.030574124,222,0.2629134,1.0
0.65,0.8762037,4480.0,-0.08572228,4480.0,0.085238636,0.030584916,223,0.26289243,1.0
0.8,0.87617487,4500.0,-0.052423894,4500.0,0.0852243,0.030579919,224,0.2628846,1.0
0.75,0.8761582,4520.0,-0.05165857,4520.0,0.08521017,0.030575495,225,0.26288083,1.0
0.7,0.87612367,4540.0,-0.046240102,4540.0,0.0852139,0.030578276,226,0.2628733,1.0
0.7,0.87616855,4560.0,-0.03698764,4560.0,0.085216634,0.030579498,227,0.2628841,1.0
0.7,0.8761868,4580.0,-0.042320963,4580.0,0.08519407,0.030577976,228,0.26289043,1.0
0.55,0.8761688,4600.0,-0.038712285,4600.0,0.08516749,0.030570725,229,0.26288542,1.0
0.75,0.87607956,4620.0,-0.06128644,4620.0,0.08518129,0.030573124,230,0.26286358,1.0
0.75,0.8760202,4640.0,-0.07120857,4640.0,0.08517301,0.03056936,231,0.26284796,1.0
0.6,0.87597257,4660.0,-0.031070802,4660.0,0.0851393,0.030560782,232,0.26283526,1.0
0.65,0.87595487,4680.0,-0.053521942,4680.0,0.08515356,0.030562673,233,0.26283064,1.0
0.7,0.875989,4700.0,-0.05767604,4700.0,0.085171945,0.030567098,234,0.26283854,1.0
0.75,0.8760058,4720.0,-0.06253886,4720.0,0.085163124,0.030563414,235,0.26284423,1.0
0.55,0.8759944,4740.0,-0.03608159,4740.0,0.0851314,0.03055497,236,0.26284036,1.0
0.7,0.8759534,4760.0,-0.0587899,4760.0,0.0851582,0.030565426,237,0.26282948,1.0
0.65,0.8759276,4780.0,-0.041015074,4780.0,0.08514438,0.030558884,238,0.2628221,1.0
0.75,0.8759119,4800.0,-0.054315053,4800.0,0.08513278,0.030556161,239,0.26281628,1.0
0.6,0.87580675,4820.0,-0.04918709,4820.0,0.08513821,0.030556083,240,0.26278812,1.0
0.7,0.8758862,4840.0,-0.07424621,4840.0,0.08515918,0.030563558,241,0.2628101,1.0
0.85,0.8758697,4860.0,-0.051495325,4860.0,0.08514739,0.030558264,242,0.26280653,1.0
0.75,0.87581414,4880.0,-0.067010626,4880.0,0.08512781,0.03055269,243,0.2627927,1.0
0.75,0.8758178,4900.0,-0.05991923,4900.0,0.08510419,0.030544898,244,0.26279405,1.0
0.7,0.8757994,4920.0,-0.057899106,4920.0,0.085078396,0.03053602,245,0.2627898,1.0
0.8,0.87580943,4940.0,-0.051615514,4940.0,0.085119605,0.030544836,246,0.26279145,1.0
0.7,0.8758064,4960.0,-0.07124944,4960.0,0.085114986,0.030543158,247,0.26278874,1.0
0.8,0.87578017,4980.0,-0.06678351,4980.0,0.085139476,0.030547325,248,0.2627812,1.0
0.7,0.8757479,5000.0,-0.056260653,5000.0,0.085116245,0.030541793,249,0.26277298,1.0
0.85,0.8757813,5020.0,-0.08147094,5020.0,0.085142754,0.03054845,250,0.2627808,1.0
0.75,0.87574524,5040.0,-0.07908019,5040.0,0.085128576,0.030544946,251,0.26276985,1.0
0.85,0.8757979,5060.0,-0.07189637,5060.0,0.08510557,0.030540014,252,0.2627838,1.0
0.6,0.87580556,5080.0,-0.060096286,5080.0,0.08509276,0.030535609,253,0.26278332,1.0
0.8,0.8757658,5100.0,-0.075249,5100.0,0.08510212,0.030536931,254,0.26277295,1.0
0.6,0.87569886,5120.0,-0.09071244,5120.0,0.085116066,0.030540535,255,0.26275748,1.0
0.85,0.8757196,5140.0,-0.024058085,5140.0,0.0850932,0.03053375,256,0.26276335,1.0
0.75,0.87577933,5160.0,-0.05852248,5160.0,0.08507546,0.030526835,257,0.26277852,1.0
0.7,0.8758161,5180.0,-0.06671367,5180.0,0.08510942,0.030535664,258,0.262788,1.0
0.85,0.87575483,5200.0,-0.06834155,5200.0,0.08509421,0.030532911,259,0.26277107,1.0
0.9,0.87579066,5220.0,-0.023204941,5220.0,0.08507499,0.030527005,260,0.26278064,1.0
0.65,0.87576485,5240.0,-0.06470518,5240.0,0.08506923,0.030526483,261,0.26277438,1.0
0.75,0.8757928,5260.0,-0.075166926,5260.0,0.08507799,0.030529583,262,0.26278114,1.0
0.65,0.8757506,5280.0,-0.05529045,5280.0,0.08506441,0.030524617,263,0.26276964,1.0
0.75,0.87573785,5300.0,-0.058957256,5300.0,0.08505341,0.030523434,264,0.2627657,1.0
1.0,0.8758064,5320.0,-0.039777864,5320.0,0.08505601,0.030525576,265,0.2627859,1.0
0.7,0.8757851,5340.0,-0.04059381,5340.0,0.085043825,0.030521858,266,0.26277906,1.0
1.0,0.8757785,5360.0,-0.071000926,5360.0,0.08504752,0.030519601,267,0.2627751,1.0
0.8,0.8757755,5380.0,-0.076959714,5380.0,0.085069336,0.030528313,268,0.26277378,1.0
0.75,0.8757772,5400.0,-0.06919301,5400.0,0.08506205,0.03052343,269,0.26277524,1.0
