stats_g/mean,test/mean_Q,epoch,test/episode,test/success_rate,train/episode,stats_o/mean,stats_g/std,stats_o/std,train/success_rate
0.80790347,-16.252104,193,3880.0,0.4,19400.0,0.19162428,0.17225218,0.092271544,0.14
0.80795926,-13.192575,194,3900.0,0.7,19500.0,0.19163808,0.17219229,0.09232888,0.16
0.807972,-16.787434,195,3920.0,0.45,19600.0,0.19163972,0.17229503,0.092371166,0.23
0.80799943,-12.81571,196,3940.0,0.7,19700.0,0.19163056,0.17227606,0.09234314,0.12
0.80803984,-14.22827,197,3960.0,0.6,19800.0,0.19164366,0.1722536,0.09229548,0.11
0.8080506,-11.911789,198,3980.0,0.6,19900.0,0.19163457,0.17225194,0.09234407,0.14
0.80806524,-12.110353,199,4000.0,0.55,20000.0,0.1916222,0.17228244,0.092456214,0.19
0.80813164,-12.921137,200,4020.0,0.65,20100.0,0.19162035,0.17225854,0.09246196,0.19
0.80817753,-14.410004,201,4040.0,0.45,20200.0,0.19163267,0.17221189,0.0924944,0.11
0.80822986,-16.30365,202,4060.0,0.25,20300.0,0.19162592,0.17215349,0.09253291,0.21
0.8082594,-13.724704,203,4080.0,0.55,20400.0,0.19162765,0.1721104,0.09248877,0.16
0.8083062,-12.363615,204,4100.0,0.4,20500.0,0.19164294,0.17213064,0.092505045,0.19
0.80836105,-18.652882,205,4120.0,0.15,20600.0,0.19164808,0.17214043,0.09253438,0.17
0.8084154,-11.582805,206,4140.0,0.5,20700.0,0.19168043,0.17220215,0.09256108,0.21
0.80847883,-12.421549,207,4160.0,0.5,20800.0,0.19169489,0.1721621,0.09255765,0.19
0.8084484,-18.321627,208,4180.0,0.2,20900.0,0.19169335,0.17220283,0.09257508,0.15
0.80849975,-18.161594,209,4200.0,0.25,21000.0,0.19168256,0.1722975,0.09262899,0.13
0.80851007,-13.010817,210,4220.0,0.5,21100.0,0.1916893,0.17228365,0.092632875,0.11
0.80852646,-17.442894,211,4240.0,0.2,21200.0,0.19169249,0.17232387,0.09266614,0.11
0.8084617,-16.057299,212,4260.0,0.35,21300.0,0.19168654,0.17237656,0.09270255,0.15
0.80855817,-14.719759,213,4280.0,0.5,21400.0,0.19171141,0.17236948,0.09276065,0.15
0.80865794,-18.477413,214,4300.0,0.35,21500.0,0.19171497,0.17243028,0.092753,0.17
0.80872554,-15.593341,215,4320.0,0.45,21600.0,0.19172333,0.17248265,0.09279138,0.18
0.8087952,-14.888245,216,4340.0,0.3,21700.0,0.19173409,0.17249095,0.092791855,0.26
0.8089187,-17.188658,217,4360.0,0.35,21800.0,0.19175139,0.17253248,0.09282201,0.18
0.8090224,-17.462173,218,4380.0,0.45,21900.0,0.19176294,0.17257436,0.09292162,0.16
0.8090832,-16.724705,219,4400.0,0.5,22000.0,0.191752,0.17256628,0.09291854,0.15
0.80919266,-15.123499,220,4420.0,0.6,22100.0,0.19175579,0.1725382,0.0929386,0.16
0.8091937,-11.078068,221,4440.0,0.6,22200.0,0.19174276,0.17254698,0.092903405,0.17
0.8092291,-12.9885845,222,4460.0,0.55,22300.0,0.1917369,0.17255445,0.092960805,0.13
0.80930465,-18.869762,223,4480.0,0.35,22400.0,0.19173159,0.17269194,0.09298001,0.12
0.8093814,-16.044268,224,4500.0,0.5,22500.0,0.19172487,0.17276496,0.092993155,0.13
0.8094206,-21.137514,225,4520.0,0.2,22600.0,0.1917149,0.17273605,0.09300085,0.06
0.80949324,-13.467356,226,4540.0,0.4,22700.0,0.19172285,0.1727758,0.09297978,0.12
0.8096201,-12.4418335,227,4560.0,0.65,22800.0,0.19173297,0.17275582,0.09294631,0.23
0.8096612,-11.502784,228,4580.0,0.7,22900.0,0.19173886,0.17283751,0.09291614,0.14
0.8096905,-12.033725,229,4600.0,0.7,23000.0,0.19173647,0.1728279,0.09291965,0.07
