test/success_rate,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/std,train/episode,stats_g/mean,stats_o/mean,test/episode
1.0,-0.53286684,158,0.08606013,0.85,0.028822128,3180.0,0.8754577,0.26272008,3180.0
1.0,-0.67571586,159,0.08612447,0.5,0.028839618,3200.0,0.87542176,0.26271394,3200.0
1.0,-0.5200384,160,0.08609465,0.6,0.02882958,3220.0,0.87539387,0.26271182,3220.0
1.0,-0.55043006,161,0.08609135,0.8,0.028832793,3240.0,0.8754606,0.2627317,3240.0
1.0,-0.55932,162,0.086106665,0.55,0.028832182,3260.0,0.8754511,0.26273307,3260.0
1.0,-0.54174674,163,0.086114824,0.8,0.028835421,3280.0,0.8755739,0.26276523,3280.0
1.0,-0.55693895,164,0.086138815,0.8,0.028837988,3300.0,0.87559646,0.26277384,3300.0
1.0,-0.5903146,165,0.08610177,0.6,0.028828215,3320.0,0.8756845,0.2627966,3320.0
1.0,-0.54956675,166,0.08613374,0.7,0.028836602,3340.0,0.8757675,0.26282004,3340.0
1.0,-0.5633888,167,0.0861448,0.6,0.02883238,3360.0,0.8756912,0.26279062,3360.0
1.0,-0.5304332,168,0.08611551,0.8,0.028824743,3380.0,0.8756626,0.26278856,3380.0
1.0,-0.5624426,169,0.08612192,0.75,0.028834844,3400.0,0.875673,0.2627886,3400.0
1.0,-0.5775427,170,0.08615854,0.7,0.028846826,3420.0,0.8757021,0.2627959,3420.0
1.0,-0.5474711,171,0.086165585,0.5,0.028848734,3440.0,0.87575793,0.26280236,3440.0
1.0,-0.5395808,172,0.086151205,0.65,0.02884585,3460.0,0.8757675,0.26281273,3460.0
1.0,-0.59105265,173,0.086203136,0.8,0.028857032,3480.0,0.875585,0.26276952,3480.0
1.0,-0.5837461,174,0.08619517,0.7,0.02885523,3500.0,0.87564343,0.2627797,3500.0
1.0,-0.5182638,175,0.08615196,0.75,0.028853688,3520.0,0.8756848,0.26279405,3520.0
1.0,-0.62195766,176,0.08621014,0.65,0.0288687,3540.0,0.87568825,0.2627986,3540.0
1.0,-0.58892924,177,0.08625957,0.75,0.028874334,3560.0,0.8757865,0.26281953,3560.0
1.0,-0.56204236,178,0.08625073,0.6,0.028872743,3580.0,0.8758351,0.26282832,3580.0
1.0,-0.5847752,179,0.086286604,0.8,0.028883332,3600.0,0.87586194,0.26283672,3600.0
1.0,-0.5914447,180,0.08633032,0.85,0.028890189,3620.0,0.8759497,0.26285848,3620.0
