epoch,stats_g/mean,train/success_rate,test/episode,test/success_rate,stats_g/std,stats_o/mean,train/episode,test/mean_Q,stats_o/std
140,0.8755617,0.04,2820.0,0.0,0.10594884,0.20392329,14100.0,-43.667797,0.06108783
141,0.87557054,0.03,2840.0,0.0,0.10597732,0.20392384,14200.0,-46.679424,0.061247822
142,0.8755894,0.01,2860.0,0.0,0.105957665,0.20391582,14300.0,-43.89539,0.061222162
143,0.8756139,0.04,2880.0,0.0,0.1059499,0.20391333,14400.0,-46.076122,0.061200503
144,0.8756392,0.04,2900.0,0.1,0.10596412,0.2039159,14500.0,-41.089363,0.061153468
145,0.87567836,0.03,2920.0,0.05,0.10601878,0.20391601,14600.0,-43.11003,0.061143864
146,0.87562895,0.05,2940.0,0.0,0.10598963,0.20393358,14700.0,-44.98019,0.061146963
147,0.87563926,0.02,2960.0,0.0,0.10597368,0.20394352,14800.0,-45.982033,0.06112611
148,0.87567204,0.04,2980.0,0.0,0.10599095,0.20393316,14900.0,-44.187935,0.061091743
149,0.87563473,0.07,3000.0,0.0,0.10597644,0.2039211,15000.0,-46.818443,0.061026324
150,0.875673,0.06,3020.0,0.0,0.10603746,0.20394535,15100.0,-46.96064,0.06101899
151,0.87565273,0.02,3040.0,0.0,0.1060155,0.2039613,15200.0,-45.07992,0.060993742
152,0.8756387,0.02,3060.0,0.0,0.10599058,0.2039628,15300.0,-44.413525,0.06096513
153,0.8756714,0.04,3080.0,0.05,0.10599699,0.20395817,15400.0,-45.06494,0.060892638
154,0.87567776,0.05,3100.0,0.05,0.10601268,0.20395517,15500.0,-44.240482,0.060890008
155,0.8756793,0.03,3120.0,0.05,0.106006406,0.2039485,15600.0,-42.99276,0.06094875
156,0.8756676,0.03,3140.0,0.05,0.105990134,0.20394652,15700.0,-43.87136,0.06089859
157,0.8756733,0.07,3160.0,0.0,0.106013395,0.20394374,15800.0,-44.60353,0.060856458
158,0.8756881,0.02,3180.0,0.05,0.10601177,0.20394592,15900.0,-40.026726,0.060812067
159,0.875725,0.04,3200.0,0.05,0.10602313,0.20394157,16000.0,-45.133812,0.06078771
160,0.875721,0.03,3220.0,0.0,0.10603007,0.20393802,16100.0,-43.885796,0.060708314
161,0.87572044,0.02,3240.0,0.0,0.10603207,0.20392372,16200.0,-46.476818,0.06063299
162,0.8756847,0.02,3260.0,0.05,0.106009185,0.20393221,16300.0,-42.45633,0.06062399
163,0.8756879,0.05,3280.0,0.1,0.10601324,0.20391378,16400.0,-43.84802,0.060776927
164,0.8756477,0.05,3300.0,0.05,0.10598129,0.20391518,16500.0,-46.03849,0.060735002
165,0.8756547,0.05,3320.0,0.0,0.10602913,0.20391437,16600.0,-45.795155,0.060727533
166,0.87569195,0.03,3340.0,0.0,0.10602825,0.20391463,16700.0,-46.273872,0.060710803
167,0.87576264,0.01,3360.0,0.0,0.10602445,0.20392302,16800.0,-45.608784,0.060800225
168,0.87579036,0.07,3380.0,0.05,0.10604591,0.20392112,16900.0,-39.877472,0.060779028
169,0.8757958,0.02,3400.0,0.0,0.10606036,0.2039212,17000.0,-46.372974,0.060856123
170,0.8758445,0.0,3420.0,0.0,0.10606139,0.2039179,17100.0,-45.378044,0.060880266
171,0.87585783,0.05,3440.0,0.1,0.10606382,0.20391387,17200.0,-39.79255,0.060812477
172,0.87586623,0.05,3460.0,0.05,0.10603038,0.203918,17300.0,-45.31446,0.060831223
173,0.8758955,0.03,3480.0,0.0,0.10606555,0.20390628,17400.0,-46.604515,0.06082426
174,0.8758781,0.04,3500.0,0.1,0.10605285,0.20389897,17500.0,-41.977753,0.06077772
175,0.8758721,0.03,3520.0,0.1,0.106063105,0.20389809,17600.0,-43.28563,0.060857974
176,0.8758897,0.06,3540.0,0.05,0.10604566,0.20391273,17700.0,-43.743595,0.060917854
177,0.8759134,0.02,3560.0,0.05,0.10609516,0.20391598,17800.0,-43.90905,0.06091358
178,0.87591624,0.05,3580.0,0.0,0.10607943,0.20391344,17900.0,-46.001045,0.060932912
179,0.8759138,0.03,3600.0,0.0,0.10607979,0.20391892,18000.0,-44.272514,0.060873833
180,0.8759208,0.04,3620.0,0.1,0.10603752,0.20391466,18100.0,-42.951912,0.0609014
181,0.8759435,0.05,3640.0,0.05,0.10600409,0.20392282,18200.0,-44.976173,0.060978092
182,0.87593716,0.02,3660.0,0.05,0.1059919,0.20391934,18300.0,-43.013523,0.06096096
183,0.87593347,0.07,3680.0,0.1,0.10599559,0.20391192,18400.0,-42.61635,0.06099556
184,0.87584734,0.04,3700.0,0.05,0.10598645,0.20391445,18500.0,-42.95383,0.0609371
185,0.87583494,0.02,3720.0,0.0,0.10596409,0.2039176,18600.0,-43.6411,0.060958467
186,0.8758684,0.01,3740.0,0.05,0.1059647,0.20392565,18700.0,-45.041367,0.061074395
187,0.87582475,0.02,3760.0,0.0,0.10598088,0.20391946,18800.0,-46.80374,0.061068285
188,0.8758526,0.04,3780.0,0.05,0.10600382,0.20392331,18900.0,-43.981804,0.06109365
189,0.8758858,0.02,3800.0,0.0,0.1059983,0.20391779,19000.0,-46.273994,0.061063882
190,0.87586147,0.05,3820.0,0.0,0.106010996,0.20392473,19100.0,-45.52456,0.061031405
191,0.87588567,0.04,3840.0,0.05,0.106021784,0.20392849,19200.0,-39.426018,0.061179195
192,0.8759238,0.04,3860.0,0.05,0.10608534,0.20393963,19300.0,-43.789764,0.061262555
193,0.8759174,0.05,3880.0,0.0,0.10611551,0.2039333,19400.0,-43.144173,0.061371427
194,0.8759198,0.01,3900.0,0.0,0.10610804,0.2039525,19500.0,-45.242176,0.06146116
195,0.8759331,0.02,3920.0,0.0,0.10609398,0.2039587,19600.0,-42.376656,0.06147481
196,0.87594175,0.05,3940.0,0.05,0.10608212,0.2039536,19700.0,-39.646942,0.06146433
197,0.8759532,0.04,3960.0,0.0,0.1060854,0.20394781,19800.0,-46.324497,0.06148994
198,0.8759549,0.01,3980.0,0.0,0.1060822,0.20396191,19900.0,-45.852234,0.061518
199,0.8759647,0.01,4000.0,0.1,0.106095694,0.20397016,20000.0,-39.82356,0.061610527
200,0.87595385,0.03,4020.0,0.0,0.10609809,0.20396714,20100.0,-46.596237,0.061627623
201,0.8759299,0.02,4040.0,0.05,0.10608205,0.20397152,20200.0,-43.52992,0.061672334
202,0.8759478,0.02,4060.0,0.05,0.10607318,0.20397286,20300.0,-41.499413,0.061684478
203,0.8759773,0.06,4080.0,0.0,0.10611439,0.20397751,20400.0,-45.303707,0.061765976
204,0.8759933,0.03,4100.0,0.15,0.106135465,0.2039794,20500.0,-40.18212,0.06174095
205,0.8759884,0.03,4120.0,0.0,0.10615029,0.20397171,20600.0,-47.815605,0.06174789
206,0.87599343,0.03,4140.0,0.05,0.106164224,0.20397574,20700.0,-44.08454,0.061738208
207,0.8760133,0.04,4160.0,0.0,0.10616219,0.2039791,20800.0,-46.320965,0.061755463
208,0.87603164,0.02,4180.0,0.1,0.10616604,0.20398551,20900.0,-41.75565,0.06176801
209,0.87604874,0.03,4200.0,0.0,0.106152885,0.2039958,21000.0,-42.413677,0.061770726
210,0.87603945,0.02,4220.0,0.0,0.10617325,0.20399496,21100.0,-46.1555,0.06176347
211,0.87602067,0.04,4240.0,0.0,0.10616263,0.2039874,21200.0,-45.037224,0.06172097
212,0.87600404,0.04,4260.0,0.15,0.10617759,0.20397858,21300.0,-37.533283,0.061762534
213,0.87601644,0.06,4280.0,0.0,0.106173575,0.2039776,21400.0,-46.289177,0.061717685
214,0.875983,0.03,4300.0,0.05,0.10616899,0.20398672,21500.0,-45.1015,0.061685957
215,0.875997,0.06,4320.0,0.05,0.10618327,0.20398378,21600.0,-46.020676,0.061673947
216,0.8760275,0.03,4340.0,0.05,0.106192976,0.20399204,21700.0,-41.315968,0.061677184
217,0.87600344,0.05,4360.0,0.0,0.10618191,0.20397492,21800.0,-44.707092,0.061663985
218,0.8759534,0.02,4380.0,0.0,0.10617906,0.20397998,21900.0,-46.03078,0.061662335
219,0.87593555,0.05,4400.0,0.0,0.10617313,0.20397472,22000.0,-44.233196,0.06164013
220,0.87597734,0.03,4420.0,0.0,0.10618272,0.20396452,22100.0,-43.96581,0.061601344
221,0.87593865,0.07,4440.0,0.0,0.106200345,0.203968,22200.0,-44.886833,0.06154895
222,0.87594765,0.04,4460.0,0.05,0.106196575,0.20396827,22300.0,-43.530865,0.061580848
223,0.87595266,0.04,4480.0,0.05,0.1061999,0.20395994,22400.0,-40.852276,0.06161775
224,0.8759601,0.05,4500.0,0.05,0.106196724,0.20394678,22500.0,-42.569603,0.061606884
225,0.87598366,0.04,4520.0,0.15,0.106206365,0.20394784,22600.0,-40.492363,0.061631408
226,0.8760092,0.04,4540.0,0.05,0.106209315,0.2039525,22700.0,-44.77334,0.061707433
227,0.87603384,0.05,4560.0,0.05,0.106212415,0.20395322,22800.0,-45.29084,0.061690148
228,0.8760817,0.05,4580.0,0.05,0.10622027,0.20395441,22900.0,-45.824627,0.061755158
229,0.8760989,0.04,4600.0,0.05,0.10622221,0.20395151,23000.0,-44.559612,0.061732784
230,0.87605786,0.02,4620.0,0.0,0.10620973,0.20395431,23100.0,-42.128937,0.061765533
231,0.87604237,0.03,4640.0,0.0,0.10620767,0.20395279,23200.0,-43.82229,0.061844293
232,0.8760331,0.07,4660.0,0.1,0.10620435,0.20394988,23300.0,-41.42208,0.06188181
233,0.87609786,0.06,4680.0,0.0,0.106215395,0.2039505,23400.0,-48.661263,0.061937287
234,0.8760686,0.05,4700.0,0.05,0.106225066,0.2039423,23500.0,-44.468544,0.06198047
235,0.87607193,0.03,4720.0,0.05,0.106239595,0.20395082,23600.0,-38.89983,0.06199094
236,0.87606066,0.07,4740.0,0.0,0.106240086,0.2039412,23700.0,-42.841976,0.06203171
237,0.876043,0.05,4760.0,0.0,0.10624728,0.2039481,23800.0,-45.354893,0.06206983
238,0.87602186,0.06,4780.0,0.05,0.106247604,0.20395356,23900.0,-42.78048,0.062063742
239,0.876,0.09,4800.0,0.0,0.106244825,0.2039372,24000.0,-48.50408,0.06214147
240,0.8759565,0.04,4820.0,0.0,0.10623915,0.20393278,24100.0,-45.023155,0.062155996
241,0.87595344,0.02,4840.0,0.1,0.10623173,0.20393175,24200.0,-40.46222,0.06217743
242,0.8759249,0.05,4860.0,0.05,0.10623404,0.20392936,24300.0,-43.43848,0.062231526
243,0.87587327,0.04,4880.0,0.05,0.10621429,0.20393215,24400.0,-43.953613,0.062239777
244,0.8758159,0.06,4900.0,0.05,0.10620918,0.20394155,24500.0,-39.400547,0.062266354
245,0.87584656,0.04,4920.0,0.0,0.10621955,0.2039455,24600.0,-45.467384,0.062408958
246,0.8758727,0.02,4940.0,0.05,0.10624636,0.20394112,24700.0,-43.091576,0.062472023
247,0.8758934,0.05,4960.0,0.0,0.10624137,0.20392938,24800.0,-48.097782,0.06257344
248,0.8758616,0.04,4980.0,0.0,0.10624304,0.20391728,24900.0,-45.749393,0.06261506
249,0.8758294,0.02,5000.0,0.0,0.106232785,0.20392017,25000.0,-47.111683,0.062654756
250,0.8758047,0.03,5020.0,0.05,0.106201895,0.20392697,25100.0,-42.720127,0.0626561
251,0.8758195,0.02,5040.0,0.0,0.10620135,0.20391959,25200.0,-45.658836,0.06269888
252,0.8758076,0.04,5060.0,0.05,0.10621808,0.20392744,25300.0,-43.452145,0.06272712
253,0.87578374,0.04,5080.0,0.05,0.106215514,0.2039381,25400.0,-43.656757,0.06280133
254,0.8757463,0.08,5100.0,0.1,0.106184565,0.20392396,25500.0,-42.790016,0.06295639
255,0.87579924,0.01,5120.0,0.0,0.106211185,0.20391959,25600.0,-45.89332,0.06296428
256,0.87580234,0.01,5140.0,0.15,0.10620884,0.20391144,25700.0,-36.17478,0.06294783
257,0.8757791,0.08,5160.0,0.05,0.10618945,0.20390177,25800.0,-39.081474,0.06299375
258,0.8757772,0.06,5180.0,0.05,0.106180765,0.20390299,25900.0,-41.84772,0.06301319
259,0.8757257,0.03,5200.0,0.05,0.10617551,0.20390649,26000.0,-42.309425,0.06306145
260,0.8757169,0.04,5220.0,0.0,0.10617765,0.20390862,26100.0,-47.343384,0.063044906
261,0.87571913,0.04,5240.0,0.0,0.10619625,0.20390156,26200.0,-46.872833,0.06304254
262,0.87566847,0.06,5260.0,0.0,0.106174506,0.20389542,26300.0,-46.997017,0.06310508
