stats_o/std,stats_g/mean,stats_g/std,train/episode,test/success_rate,epoch,test/mean_Q,train/success_rate,stats_o/mean,test/episode
0.030603101,0.87623763,0.085201114,4300.0,1.0,214,-0.054319136,0.85,0.2628972,4300.0
0.030607443,0.8761821,0.08521193,4320.0,1.0,215,-0.06385185,0.8,0.26288283,4320.0
0.030605573,0.8761434,0.0852034,4340.0,1.0,216,-0.05955922,0.85,0.2628718,4340.0
0.030605007,0.87616515,0.0852097,4360.0,1.0,217,-0.07206107,0.75,0.2628769,4360.0
0.030604148,0.87621397,0.08521216,4380.0,1.0,218,-0.08681844,0.8,0.26289052,4380.0
0.03060008,0.87624407,0.08519081,4400.0,1.0,219,-0.06729001,0.85,0.26289952,4400.0
0.0306093,0.8761712,0.08522555,4420.0,1.0,220,-0.07613207,0.85,0.26288205,4420.0
0.03061158,0.87613744,0.08522531,4440.0,1.0,221,-0.07721664,0.75,0.2628731,4440.0
0.030610004,0.8761384,0.08522296,4460.0,1.0,222,-0.059667677,0.7,0.26287353,4460.0
0.030619318,0.87606525,0.085264854,4480.0,1.0,223,-0.10797582,0.65,0.26285267,4480.0
0.030613858,0.8760361,0.085249126,4500.0,1.0,224,-0.06622306,0.75,0.2628451,4500.0
0.030610424,0.87602216,0.08523854,4520.0,1.0,225,-0.06949718,0.7,0.262842,4520.0
0.030615237,0.8759902,0.0852452,4540.0,1.0,226,-0.075241804,0.7,0.26283497,4540.0
0.030617613,0.876039,0.08524973,4560.0,1.0,227,-0.077160746,0.8,0.26284754,4560.0
0.030615434,0.8760598,0.085225664,4580.0,1.0,228,-0.06891661,0.75,0.2628548,4580.0
0.030607736,0.87604266,0.08520133,4600.0,1.0,229,-0.04787106,0.65,0.26285002,4600.0
0.030610304,0.87595826,0.0852155,4620.0,1.0,230,-0.07695397,0.95,0.26282927,4620.0
0.030607436,0.8759015,0.08520613,4640.0,1.0,231,-0.03811688,0.75,0.26281434,4640.0
0.030598056,0.8758548,0.085171245,4660.0,1.0,232,-0.04356085,0.7,0.26280195,4660.0
0.030599568,0.8758363,0.08518077,4680.0,1.0,233,-0.071518,0.75,0.26279643,4680.0
0.030606389,0.8758753,0.08520192,4700.0,1.0,234,-0.068281256,0.65,0.26280564,4700.0
0.030603135,0.87589043,0.085195184,4720.0,1.0,235,-0.06649314,0.85,0.2628108,4720.0
0.030594673,0.8758783,0.08516214,4740.0,1.0,236,-0.034216918,0.75,0.26280713,4740.0
0.03060487,0.87583727,0.08519044,4760.0,1.0,237,-0.067595534,0.8,0.26279613,4760.0
0.03059889,0.8758116,0.08517728,4780.0,1.0,238,-0.052888483,0.65,0.26278913,4780.0
0.03059643,0.875792,0.08516937,4800.0,1.0,239,-0.051467784,0.8,0.26278242,4800.0
0.030597333,0.87569094,0.08517403,4820.0,1.0,240,-0.062438987,0.7,0.2627558,4820.0
0.030603688,0.8757701,0.08519309,4840.0,1.0,241,-0.0838936,0.7,0.26277798,4840.0
0.030599201,0.87575144,0.08518347,4860.0,1.0,242,-0.050275974,0.95,0.26277423,4860.0
0.030593619,0.875701,0.085162796,4880.0,1.0,243,-0.035113256,0.7,0.26276168,4880.0
0.030585319,0.8757016,0.08513626,4900.0,1.0,244,-0.0423683,0.8,0.26276225,4900.0
0.030576557,0.8756835,0.08511116,4920.0,1.0,245,-0.05188809,0.75,0.26275843,4920.0
0.030583996,0.8756938,0.085153006,4940.0,1.0,246,-0.08740489,0.8,0.26276073,4940.0
0.030582821,0.8756898,0.085148714,4960.0,1.0,247,-0.052686144,0.7,0.2627577,4960.0
0.030589078,0.8756644,0.085175194,4980.0,1.0,248,-0.056687426,0.8,0.26275092,4980.0
0.030582499,0.8756323,0.08515034,5000.0,1.0,249,-0.05183337,0.75,0.26274258,5000.0
0.030589193,0.8756666,0.08517713,5020.0,1.0,250,-0.0814489,0.9,0.26275104,5020.0
0.030586984,0.87563294,0.08516786,5040.0,1.0,251,-0.063744836,0.75,0.2627412,5040.0
0.03058138,0.8756869,0.08514432,5060.0,1.0,252,-0.056759395,0.85,0.26275554,5060.0
0.030576488,0.87569714,0.08512872,5080.0,1.0,253,-0.07634487,0.65,0.26275608,5080.0
0.030578172,0.87565845,0.08513918,5100.0,1.0,254,-0.0800821,0.85,0.26274565,5100.0
0.03058127,0.8755941,0.0851519,5120.0,1.0,255,-0.06732264,0.7,0.2627308,5120.0
0.030573588,0.8756156,0.08512793,5140.0,1.0,256,-0.05211035,0.9,0.2627371,5140.0
