test/episode,test/mean_Q,epoch,stats_o/mean,stats_g/mean,test/success_rate,stats_o/std,train/episode,stats_g/std,train/success_rate
5080.0,-3.21315,253,0.20429623,0.8444845,0.85,0.110121354,25400.0,0.09970138,0.52
5100.0,-2.0619328,254,0.20429038,0.84448457,0.9,0.11010183,25500.0,0.09965845,0.65
5120.0,-2.2405937,255,0.20429441,0.8445197,0.9,0.11013134,25600.0,0.09968657,0.51
5140.0,-1.8843018,256,0.2043043,0.8445464,0.85,0.110117234,25700.0,0.09968253,0.52
5160.0,-1.2753981,257,0.20430714,0.8445647,0.9,0.11010739,25800.0,0.09962731,0.64
5180.0,-2.2650409,258,0.20430914,0.8445861,0.9,0.110076144,25900.0,0.09962171,0.62
5200.0,-2.064632,259,0.2043254,0.8445709,0.9,0.110075235,26000.0,0.09961167,0.64
5220.0,-2.1642716,260,0.20432629,0.8445957,0.9,0.110035,26100.0,0.09960105,0.64
5240.0,-2.3655124,261,0.2043489,0.8446165,0.95,0.10997333,26200.0,0.0995838,0.61
5260.0,-2.1910222,262,0.2043371,0.8446104,0.85,0.10992795,26300.0,0.09953746,0.7
5280.0,-2.4216766,263,0.2043334,0.84463143,0.9,0.10994373,26400.0,0.09953631,0.61
5300.0,-1.3579385,264,0.20431072,0.8446354,0.95,0.10995893,26500.0,0.09953928,0.62
5320.0,-0.7755003,265,0.20431484,0.84466666,1.0,0.10992737,26600.0,0.099524476,0.59
5340.0,-1.9903259,266,0.20432255,0.84468037,0.9,0.10991635,26700.0,0.099500775,0.65
5360.0,-2.1229005,267,0.20434044,0.84469336,0.9,0.109944984,26800.0,0.099529475,0.53
5380.0,-1.8292192,268,0.20435525,0.8446877,0.95,0.10994328,26900.0,0.099519335,0.55
5400.0,-1.3949873,269,0.20437764,0.84471196,0.95,0.10994205,27000.0,0.099531375,0.46
5420.0,-0.89905965,270,0.2043991,0.84477,1.0,0.10997276,27100.0,0.09952868,0.67
5440.0,-1.9260483,271,0.20440243,0.844795,0.9,0.10999609,27200.0,0.09950808,0.6
5460.0,-2.1028397,272,0.2044104,0.84482116,0.85,0.11000454,27300.0,0.0995115,0.59
