test/success_rate,stats_o/std,stats_o/mean,test/episode,train/episode,epoch,train/success_rate,test/mean_Q,stats_g/mean,stats_g/std
0.65,0.11951753,0.20455408,4420.0,22100.0,220,0.52,-9.30863,0.84515876,0.106861986
0.75,0.11965519,0.20454258,4440.0,22200.0,221,0.56,-6.064114,0.845102,0.10701551
0.7,0.119839974,0.20455082,4460.0,22300.0,222,0.51,-9.140617,0.84505194,0.10725167
0.75,0.11987904,0.20457277,4480.0,22400.0,223,0.56,-5.814753,0.845053,0.107248396
0.65,0.11989518,0.20455492,4500.0,22500.0,224,0.42,-9.823447,0.84501165,0.10729862
0.9,0.11985755,0.20456158,4520.0,22600.0,225,0.49,-5.18005,0.84502524,0.107307665
0.65,0.11978884,0.20456745,4540.0,22700.0,226,0.53,-11.098509,0.84503514,0.10730192
0.7,0.11977501,0.20458561,4560.0,22800.0,227,0.48,-10.292238,0.8450479,0.1072973
0.75,0.11972142,0.20458275,4580.0,22900.0,228,0.45,-7.057395,0.8450776,0.10728381
0.85,0.11971698,0.2045728,4600.0,23000.0,229,0.53,-4.8286448,0.8451035,0.10725802
0.9,0.119775936,0.20458573,4620.0,23100.0,230,0.46,-4.640428,0.84508276,0.10730547
0.85,0.119786,0.20459187,4640.0,23200.0,231,0.51,-5.347508,0.84508055,0.10729792
0.8,0.119819105,0.2046066,4660.0,23300.0,232,0.5,-7.9099283,0.8451026,0.107309796
0.6,0.11985037,0.20460215,4680.0,23400.0,233,0.5,-8.528774,0.8451626,0.10742313
0.65,0.119859315,0.20460367,4700.0,23500.0,234,0.58,-7.4091845,0.8451646,0.10750991
0.85,0.119884044,0.20461588,4720.0,23600.0,235,0.47,-4.122504,0.8451776,0.10756383
0.85,0.11990574,0.2045924,4740.0,23700.0,236,0.57,-2.2370694,0.8451882,0.1076133
0.75,0.11993422,0.20459193,4760.0,23800.0,237,0.46,-7.421885,0.8451912,0.10763675
0.65,0.119975284,0.20458417,4780.0,23900.0,238,0.55,-9.037883,0.8451829,0.10770082
0.7,0.12000643,0.20459399,4800.0,24000.0,239,0.64,-8.70981,0.84519273,0.107778974
0.85,0.12006428,0.20463917,4820.0,24100.0,240,0.54,-5.8172746,0.84519964,0.10778911
0.9,0.120129004,0.20466259,4840.0,24200.0,241,0.54,-1.8491882,0.84523153,0.10789243
0.75,0.12018789,0.20465147,4860.0,24300.0,242,0.57,-4.7081842,0.84522265,0.10789299
