train/success_rate,test/mean_Q,test/success_rate,epoch,stats_g/mean,stats_g/std,stats_o/std,train/episode,stats_o/mean,test/episode
0.98,-1.2220141,0.95,261,0.83815867,0.07359868,0.11119658,26200.0,0.20187284,5240.0
0.94,-1.0688282,0.95,262,0.8381358,0.07356662,0.11118392,26300.0,0.20188473,5260.0
0.94,-1.225374,1.0,263,0.83810353,0.07353074,0.11123205,26400.0,0.20188135,5280.0
0.97,-0.99521494,1.0,264,0.8381233,0.07349376,0.1112372,26500.0,0.20189688,5300.0
0.95,-1.0094026,1.0,265,0.8381443,0.073459424,0.11129665,26600.0,0.20188794,5320.0
0.96,-1.1651998,1.0,266,0.8381347,0.07341137,0.11132413,26700.0,0.20190577,5340.0
0.98,-1.0107223,1.0,267,0.83813626,0.07338365,0.11131837,26800.0,0.20191565,5360.0
0.98,-1.1568755,1.0,268,0.8381532,0.0734104,0.111372985,26900.0,0.20191777,5380.0
0.99,-1.0381488,1.0,269,0.8381491,0.07339848,0.11135289,27000.0,0.20190483,5400.0
0.97,-1.1634836,1.0,270,0.8381427,0.07336136,0.111368395,27100.0,0.201912,5420.0
